X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-119.348306,50.133422,train,8.317879214645807E-5,9.197765946027728,0.2830091395592481
-119.60775,49.024895,train,1.5473564232509657E-4,18.148868648733224,0.46146339789377955
-115.724075,51.188038,train,1.8028274692119214E-4,21.051589526680612,0.5137737233695989
-114.50122,51.190312,train,3.688562870541462E-4,61.07302907243336,0.7712952090006365
-113.602578,53.501869,train,4.782340848929596E-4,99.18651593513565,0.8523342785218093
-118.759898,55.109446,train,3.811122471811849E-4,65.41108252147602,0.7822360679402225
-115.97579,51.259481,train,1.4429180922658985E-4,16.98593745815356,0.43849093886329316
-110.312417,49.661595,train,3.68889163416515E-4,61.08490222139159,0.7713252808721858
-115.314588,51.090939,train,2.96222627729864E-4,38.98838469356882,0.6941953138837114
-121.701057,50.838654,train,2.0574199425634336E-4,24.71380298575011,0.560848634119948
-121.69796,50.833878,train,1.4588761720576735E-4,17.31361742003688,0.44206352018403483
-121.234016,50.852905,train,1.4386255039250867E-4,16.78526717178704,0.43752604648062876
-111.328895,54.098487,train,3.4549899888298746E-4,52.715867004741305,0.7488991255919828
-125.266827,53.021748,train,3.8528376030533143E-4,66.7474987717,0.785839294017167
-113.474905,53.51995,train,4.743338673242332E-4,97.79251193515518,0.8500126626096404
-113.441062,52.580088,train,4.7916600860766016E-4,99.760212221,0.8528836687037731
-113.381638,53.556732,train,4.784610271632938E-4,99.50063775232167,0.852468254823763
-113.618291,53.465222,train,4.775539080548003E-4,98.85959521098192,0.8519320041103894
-105.91872,53.720777,train,2.084021642728401E-4,25.087459515080074,0.5654964106235897
-115.580076,51.189311,train,2.4212973129070407E-4,30.51109198297648,0.6203296953352396
-113.559897,53.502544,train,4.7733808303693904E-4,98.75600900895775,0.8518041306441213
-119.738136,49.342191,train,8.023393331347211E-5,8.868322727304912,0.27451404345031005
-120.730258,51.378002,train,4.4160017104086436E-4,84.60868367128062,0.8290319642479578
-114.201223,51.077022,train,3.68889163416515E-4,61.08490222139159,0.7713252808721858
-112.832473,53.680715,train,4.363323895199929E-4,83.4276378200749,0.8253915071206556
